Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,generation,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organism,pcb_dosage,Platform,population,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR12475488,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,1969067208,PRJNA658029,SAMN15856707,885149931,GEO,public,"sra,bam,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969458,F2,GSM4731997,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731997,"stage 35\, whole embryo",SRP278069
SRR12475489,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2265451900,PRJNA658029,SAMN15856706,1028783757,GEO,public,"sra,run.zq,bam","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969459,F2,GSM4731998,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731998,"stage 35\, whole embryo",SRP278069
SRR12475490,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,3158588839,PRJNA658029,SAMN15856705,1254380826,GEO,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969460,F2,GSM4731999,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731999,"stage 35\, whole embryo",SRP278069
SRR12475491,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,3804352250,PRJNA658029,SAMN15856704,1484232799,GEO,public,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969461,F2,GSM4732000,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4732000,"stage 35\, whole embryo",SRP278069
SRR12475492,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2901517107,PRJNA658029,SAMN15856703,1215930091,GEO,public,"bam,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969462,F2,GSM4732001,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Newark,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4732001,"stage 35\, whole embryo",SRP278069
SRR12475493,RNA-Seq,Fundulus_heteroclitus-3.0.2,193,2693938075,PRJNA658029,SAMN15856702,1120672706,GEO,public,"run.zq,bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969463,F1,GSM4732002,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:05:00Z,1,GSM4732002,"stage 35\, whole embryo",SRP278069
SRR12475494,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2271559598,PRJNA658029,SAMN15856701,1025494689,GEO,public,"bam,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969464,F1,GSM4732003,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4732003,"stage 35\, whole embryo",SRP278069
SRR12475495,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2463936258,PRJNA658029,SAMN15856700,1039635522,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969465,F1,GSM4732004,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:06:00Z,1,GSM4732004,"stage 35\, whole embryo",SRP278069
SRR12475496,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2398549731,PRJNA658029,SAMN15856699,1012199714,GEO,public,"run.zq,bam,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969466,F1,GSM4732005,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4732005,"stage 35\, whole embryo",SRP278069
SRR12475497,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2646216015,PRJNA658029,SAMN15856698,1148333276,GEO,public,"run.zq,bam,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969467,F1,GSM4732006,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4732006,"stage 35\, whole embryo",SRP278069
SRR12475498,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2289027830,PRJNA658029,SAMN15856697,996473485,GEO,public,"run.zq,bam,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969468,F1,GSM4732007,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4732007,"stage 35\, whole embryo",SRP278069
SRR12475499,RNA-Seq,Fundulus_heteroclitus-3.0.2,193,3143199393,PRJNA658029,SAMN15856696,1337576266,GEO,public,"bam,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969469,F1,GSM4732008,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:12:00Z,1,GSM4732008,"stage 35\, whole embryo",SRP278069
SRR12475500,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,3526485696,PRJNA658029,SAMN15856695,1380793762,GEO,public,"run.zq,bam,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969470,F1,GSM4732009,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4732009,"stage 35\, whole embryo",SRP278069
SRR12475501,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2948092028,PRJNA658029,SAMN15856694,1252526725,GEO,public,"sra,bam,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969471,F1,GSM4732010,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4732010,"stage 35\, whole embryo",SRP278069
SRR12475502,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2777916412,PRJNA658029,SAMN15856693,1173236087,GEO,public,"run.zq,sra,bam","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969472,F1,GSM4732011,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Sandy Hook,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4732011,"stage 35\, whole embryo",SRP278069
SRR12475503,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2397210631,PRJNA658029,SAMN15856631,985447463,GEO,public,"run.zq,bam,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969397,F1,GSM4731937,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:13:00Z,1,GSM4731937,"stage 35\, whole embryo",SRP278069
SRR12475504,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,4078016714,PRJNA658029,SAMN15856630,1568783037,GEO,public,"run.zq,bam,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969398,F1,GSM4731938,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731938,"stage 35\, whole embryo",SRP278069
SRR12475505,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2749754275,PRJNA658029,SAMN15856629,1146962846,GEO,public,"run.zq,sra,bam","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969399,F1,GSM4731939,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:12:00Z,1,GSM4731939,"stage 35\, whole embryo",SRP278069
SRR12475506,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3721269342,PRJNA658029,SAMN15856628,1456103325,GEO,public,"bam,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969400,F1,GSM4731940,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731940,"stage 35\, whole embryo",SRP278069
SRR12475507,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2992110911,PRJNA658029,SAMN15856627,1242771346,GEO,public,"sra,run.zq,bam","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969401,F1,GSM4731941,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4731941,"stage 35\, whole embryo",SRP278069
SRR12475508,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2849609459,PRJNA658029,SAMN15856626,1205246359,GEO,public,"bam,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969402,F1,GSM4731942,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4731942,"stage 35\, whole embryo",SRP278069
SRR12475509,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,3431594254,PRJNA658029,SAMN15856625,1397260874,GEO,public,"run.zq,sra,bam","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969403,F1,GSM4731943,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731943,"stage 35\, whole embryo",SRP278069
SRR12475510,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2105295646,PRJNA658029,SAMN15856623,886366273,GEO,public,"bam,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969404,F1,GSM4731944,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731944,"stage 35\, whole embryo",SRP278069
SRR12475511,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,2538239968,PRJNA658029,SAMN15856622,1012475115,GEO,public,"sra,run.zq,bam","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969405,F1,GSM4731945,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Block Island,2020-08-20T00:00:00Z,2020-08-19T11:06:00Z,1,GSM4731945,"stage 35\, whole embryo",SRP278069
SRR12475512,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,3487393679,PRJNA658029,SAMN15856621,1437396999,GEO,public,"sra,run.zq,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969406,F2,GSM4731946,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731946,"stage 35\, whole embryo",SRP278069
SRR12475513,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,3692561400,PRJNA658029,SAMN15856619,1438138150,GEO,public,"run.zq,bam,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969407,F2,GSM4731947,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4731947,"stage 35\, whole embryo",SRP278069
SRR12475514,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2654442424,PRJNA658029,SAMN15856618,1145226093,GEO,public,"run.zq,bam,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969408,F2,GSM4731948,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:08:00Z,1,GSM4731948,"stage 35\, whole embryo",SRP278069
